txn_id,account_id,txn_type,amount,txn_timestamp,channel,status,created_at
30001,22434,Debit,34943.92,2024-01-01 00:03:38.0000000,RTGS,SUCCESS,2026-05-16 10:42:30.7348731
30002,20396,Debit,18652.79,2024-01-01 00:46:50.0000000,UPI,SUCCESS,2026-05-16 10:42:30.7348731
30003,20540,Credit,50064.80,2024-01-01 00:52:17.0000000,RTGS,SUCCESS,2026-05-16 10:42:30.7348731
30004,22668,Debit,34204.13,2024-01-01 01:24:23.0000000,NEFT,SUCCESS,2026-05-16 10:42:30.7348731
30005,21171,Debit,3968.60,2024-01-01 01:53:38.0000000,POS,SUCCESS,2026-05-16 10:42:30.7348731
30006,21308,Credit,72578.05,2024-01-01 03:52:37.0000000,RTGS,SUCCESS,2026-05-16 10:42:30.7348731
30007,23676,Credit,73285.03,2024-01-01 04:02:59.0000000,POS,SUCCESS,2026-05-16 10:42:30.7348731
30008,21531,Debit,61921.26,2024-01-01 04:50:23.0000000,ATM,SUCCESS,2026-05-16 10:42:30.7348731
30009,21498,Debit,84097.98,2024-01-01 05:20:07.0000000,RTGS,SUCCESS,2026-05-16 10:42:30.7348731
30010,23814,Debit,20397.84,2024-01-01 05:35:57.0000000,RTGS,SUCCESS,2026-05-16 10:42:30.7348731
30011,22758,Debit,28691.54,2024-01-01 05:40:27.0000000,ATM,SUCCESS,2026-05-16 10:42:30.7348731
30012,22907,Debit,45919.71,2024-01-01 07:14:38.0000000,RTGS,SUCCESS,2026-05-16 10:42:30.7348731
30013,20885,Credit,6111.50,2024-01-01 07:20:52.0000000,ATM,SUCCESS,2026-05-16 10:42:30.7348731
30014,20503,Debit,88366.22,2024-01-01 08:13:20.0000000,NEFT,PENDING,2026-05-16 10:42:30.7348731
30015,22985,Credit,49113.80,2024-01-01 08:58:37.0000000,UPI,SUCCESS,2026-05-16 10:42:30.7348731
30016,24146,Debit,32533.86,2024-01-01 09:57:59.0000000,RTGS,SUCCESS,2026-05-16 10:42:30.7348731
30017,23594,Credit,47848.55,2024-01-01 10:00:14.0000000,NEFT,SUCCESS,2026-05-16 10:42:30.7348731
30018,21994,Debit,32580.47,2024-01-01 10:22:18.0000000,UPI,SUCCESS,2026-05-16 10:42:30.7348731
30019,20225,Credit,28697.72,2024-01-01 10:27:12.0000000,RTGS,SUCCESS,2026-05-16 10:42:30.7348731
30020,22130,Credit,44857.04,2024-01-01 10:45:29.0000000,NEFT,SUCCESS,2026-05-16 10:42:30.7348731
30021,22230,Credit,48242.28,2024-01-01 11:14:58.0000000,RTGS,SUCCESS,2026-05-16 10:42:30.7348731
30022,20522,Credit,43391.20,2024-01-01 13:13:59.0000000,UPI,SUCCESS,2026-05-16 10:42:30.7348731
30023,23432,Credit,54838.30,2024-01-01 13:48:30.0000000,RTGS,SUCCESS,2026-05-16 10:42:30.7348731
30024,22976,Credit,78359.56,2024-01-01 14:41:50.0000000,ATM,SUCCESS,2026-05-16 10:42:30.7348731
30025,24331,Debit,5821.09,2024-01-01 15:34:54.0000000,NEFT,SUCCESS,2026-05-16 10:42:30.7348731
30026,21491,Debit,81170.72,2024-01-01 15:45:26.0000000,RTGS,SUCCESS,2026-05-16 10:42:30.7348731
30027,22594,Debit,22930.59,2024-01-01 17:36:25.0000000,ATM,FAILED,2026-05-16 10:42:30.7348731
30028,24139,Credit,25284.08,2024-01-01 17:52:23.0000000,UPI,SUCCESS,2026-05-16 10:42:30.7348731
30029,24478,Debit,59986.70,2024-01-01 20:05:43.0000000,UPI,SUCCESS,2026-05-16 10:42:30.7348731
30030,21157,Debit,97569.56,2024-01-01 21:17:18.0000000,ATM,SUCCESS,2026-05-16 10:42:30.7348731
30031,24499,Debit,1838.19,2024-01-01 21:22:59.0000000,UPI,SUCCESS,2026-05-16 10:42:30.7348731
30032,23442,Debit,67346.05,2024-01-01 22:49:20.0000000,ATM,FAILED,2026-05-16 10:42:30.7348731
30033,24150,Credit,69720.03,2024-01-01 23:21:13.0000000,UPI,FAILED,2026-05-16 10:42:30.7348731
30034,20654,Debit,57407.81,2024-01-01 23:40:51.0000000,POS,SUCCESS,2026-05-16 10:42:30.7348731
30035,22609,Debit,1068.04,2024-01-02 00:22:08.0000000,POS,SUCCESS,2026-05-16 10:42:30.7348731
30036,20159,Credit,60674.54,2024-01-02 00:33:34.0000000,RTGS,SUCCESS,2026-05-16 10:42:30.7348731
30037,20138,Debit,11590.63,2024-01-02 02:21:10.0000000,UPI,SUCCESS,2026-05-16 10:42:30.7348731
30038,20533,Credit,7898.96,2024-01-02 04:02:13.0000000,POS,PENDING,2026-05-16 10:42:30.7348731
30039,23374,Debit,69636.55,2024-01-02 04:55:56.0000000,ATM,SUCCESS,2026-05-16 10:42:30.7348731
30040,20715,Credit,70053.43,2024-01-02 05:38:16.0000000,UPI,SUCCESS,2026-05-16 10:42:30.7348731
30041,23691,Debit,89002.20,2024-01-02 06:58:12.0000000,NEFT,SUCCESS,2026-05-16 10:42:30.7348731
30042,23146,Debit,437.71,2024-01-02 11:01:13.0000000,ATM,SUCCESS,2026-05-16 10:42:30.7348731
30043,22325,Debit,37938.11,2024-01-02 12:15:48.0000000,POS,SUCCESS,2026-05-16 10:42:30.7348731
30044,20421,Debit,1325.97,2024-01-02 12:51:39.0000000,POS,FAILED,2026-05-16 10:42:30.7348731
30045,23045,Credit,36529.79,2024-01-02 12:51:42.0000000,POS,SUCCESS,2026-05-16 10:42:30.7348731
30046,22105,Debit,49216.63,2024-01-02 13:42:12.0000000,RTGS,SUCCESS,2026-05-16 10:42:30.7348731
30047,24165,Debit,53019.94,2024-01-02 13:56:40.0000000,RTGS,SUCCESS,2026-05-16 10:42:30.7348731
30048,23270,Debit,35657.68,2024-01-02 14:02:49.0000000,NEFT,SUCCESS,2026-05-16 10:42:30.7348731
30049,21176,Credit,72557.61,2024-01-02 14:25:24.0000000,NEFT,SUCCESS,2026-05-16 10:42:30.7348731
30050,20720,Credit,41617.93,2024-01-02 15:17:23.0000000,ATM,SUCCESS,2026-05-16 10:42:30.7348731
30051,24284,Credit,51760.94,2024-01-02 15:25:26.0000000,NEFT,SUCCESS,2026-05-16 10:42:30.7348731
30052,21687,Debit,80028.75,2024-01-02 15:34:34.0000000,ATM,SUCCESS,2026-05-16 10:42:30.7348731
30053,23119,Credit,17512.85,2024-01-02 16:24:09.0000000,UPI,SUCCESS,2026-05-16 10:42:30.7348731
30054,23572,Credit,32157.43,2024-01-02 20:12:15.0000000,RTGS,FAILED,2026-05-16 10:42:30.7348731
30055,20180,Debit,52190.82,2024-01-02 21:05:52.0000000,POS,SUCCESS,2026-05-16 10:42:30.7348731
30056,21773,Credit,76785.06,2024-01-02 21:26:34.0000000,ATM,SUCCESS,2026-05-16 10:42:30.7348731
